pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
AUS	USA	dirofilaria_immitis_chrX	700001	800000	0.1549489274949003	387
AUS	ASIA	dirofilaria_immitis_chrX	800001	900000	0.3348334812603993	391
CENAM	USA	dirofilaria_immitis_chrX	800001	900000	0.3327499062618119	391
EUR	USA	dirofilaria_immitis_chrX	800001	900000	0.256324097842701	391
AUS	USA	dirofilaria_immitis_chrX	800001	900000	0.1502638113847791	391
ASIA	USA	dirofilaria_immitis_chrX	800001	900000	0.2811634676169806	391
ASIA	CENAM	dirofilaria_immitis_chrX	800001	900000	0.7292765807078029	391
AUS	CENAM	dirofilaria_immitis_chrX	800001	900000	0.3952920090725171	391
AUS	EUR	dirofilaria_immitis_chrX	800001	900000	0.3452408369696943	391
EUR	CENAM	dirofilaria_immitis_chrX	800001	900000	0.5898257514994182	391
EUR	ASIA	dirofilaria_immitis_chrX	800001	900000	0.6384049900913938	391
AUS	USA	dirofilaria_immitis_chrX	900001	1000000	0.1660238732385489	448
CENAM	USA	dirofilaria_immitis_chrX	900001	1000000	0.2947729203449896	448
EUR	CENAM	dirofilaria_immitis_chrX	900001	1000000	0.4787774103402054	448
ASIA	CENAM	dirofilaria_immitis_chrX	900001	1000000	0.5626937758114899	448
ASIA	USA	dirofilaria_immitis_chrX	900001	1000000	0.2072056427690979	448
EUR	ASIA	dirofilaria_immitis_chrX	900001	1000000	0.5277030179484107	448
EUR	USA	dirofilaria_immitis_chrX	900001	1000000	0.2534581039663863	448
AUS	EUR	dirofilaria_immitis_chrX	900001	1000000	0.3930694453460724	448
AUS	ASIA	dirofilaria_immitis_chrX	900001	1000000	0.3050764991847958	448
AUS	CENAM	dirofilaria_immitis_chrX	900001	1000000	0.4049733671857016	448
ASIA	CENAM	dirofilaria_immitis_chrX	1000001	1100000	0.6957629156554652	460
AUS	EUR	dirofilaria_immitis_chrX	1000001	1100000	0.3203875946696256	460
CENAM	USA	dirofilaria_immitis_chrX	1000001	1100000	0.3780804205461091	460
ASIA	USA	dirofilaria_immitis_chrX	1000001	1100000	0.1792384200928151	460
EUR	USA	dirofilaria_immitis_chrX	1000001	1100000	0.2292976719756572	460
EUR	CENAM	dirofilaria_immitis_chrX	1000001	1100000	0.6218942422099293	460
AUS	ASIA	dirofilaria_immitis_chrX	1000001	1100000	0.3038317625767953	460
EUR	ASIA	dirofilaria_immitis_chrX	1000001	1100000	0.4933783463517633	460
AUS	USA	dirofilaria_immitis_chrX	1000001	1100000	0.1661304072973874	460
AUS	CENAM	dirofilaria_immitis_chrX	1000001	1100000	0.4466695267814132	460
AUS	EUR	dirofilaria_immitis_chrX	1100001	1200000	0.3625275583470276	357
AUS	CENAM	dirofilaria_immitis_chrX	1100001	1200000	0.3594800967555983	357
AUS	ASIA	dirofilaria_immitis_chrX	1100001	1200000	0.1880148649211976	357
EUR	ASIA	dirofilaria_immitis_chrX	1100001	1200000	0.5826428223599187	357
AUS	USA	dirofilaria_immitis_chrX	1100001	1200000	0.1669497301912901	357
EUR	USA	dirofilaria_immitis_chrX	1100001	1200000	0.2670089617671209	357
EUR	CENAM	dirofilaria_immitis_chrX	1100001	1200000	0.4129920179052805	357
ASIA	CENAM	dirofilaria_immitis_chrX	1100001	1200000	0.642489484721365	357
CENAM	USA	dirofilaria_immitis_chrX	1100001	1200000	0.3224623942897978	357
ASIA	USA	dirofilaria_immitis_chrX	1100001	1200000	0.1799498386376066	357
CENAM	USA	dirofilaria_immitis_chrX	1200001	1300000	0.3360573911998768	345
AUS	USA	dirofilaria_immitis_chrX	1200001	1300000	0.1201290654259397	345
EUR	ASIA	dirofilaria_immitis_chrX	1200001	1300000	0.6570122830199516	345
EUR	CENAM	dirofilaria_immitis_chrX	1200001	1300000	0.3472211968620724	345
EUR	USA	dirofilaria_immitis_chrX	1200001	1300000	0.2194545835287265	345
ASIA	CENAM	dirofilaria_immitis_chrX	1200001	1300000	0.8100082024251678	345
ASIA	USA	dirofilaria_immitis_chrX	1200001	1300000	0.2965156759711783	345
AUS	ASIA	dirofilaria_immitis_chrX	1200001	1300000	0.343943729581981	345
AUS	CENAM	dirofilaria_immitis_chrX	1200001	1300000	0.2930389045164667	345
AUS	EUR	dirofilaria_immitis_chrX	1200001	1300000	0.2370955321123702	345
CENAM	USA	dirofilaria_immitis_chrX	1300001	1400000	0.3056103517471071	453
AUS	EUR	dirofilaria_immitis_chrX	1300001	1400000	0.3570166479568326	453
EUR	USA	dirofilaria_immitis_chrX	1300001	1400000	0.3169583838939777	453
EUR	CENAM	dirofilaria_immitis_chrX	1300001	1400000	0.3777720335177433	453
EUR	ASIA	dirofilaria_immitis_chrX	1300001	1400000	0.7468096139122268	453
AUS	USA	dirofilaria_immitis_chrX	1300001	1400000	0.1977353567391205	453
AUS	CENAM	dirofilaria_immitis_chrX	1300001	1400000	0.2822282028851353	453
AUS	ASIA	dirofilaria_immitis_chrX	1300001	1400000	0.4733025089615216	453
ASIA	USA	dirofilaria_immitis_chrX	1300001	1400000	0.3290826645520985	453
ASIA	CENAM	dirofilaria_immitis_chrX	1300001	1400000	0.7739344533551404	453
AUS	EUR	dirofilaria_immitis_chrX	1400001	1500000	0.4688370201644092	446
CENAM	USA	dirofilaria_immitis_chrX	1400001	1500000	0.2875436860115872	446
AUS	CENAM	dirofilaria_immitis_chrX	1400001	1500000	0.4626671884780867	446
EUR	CENAM	dirofilaria_immitis_chrX	1400001	1500000	0.2582920673580202	446
AUS	USA	dirofilaria_immitis_chrX	1400001	1500000	0.2357777138054255	446
AUS	ASIA	dirofilaria_immitis_chrX	1400001	1500000	0.3161576238441011	446
ASIA	USA	dirofilaria_immitis_chrX	1400001	1500000	0.2428875614231254	446
EUR	USA	dirofilaria_immitis_chrX	1400001	1500000	0.3007101659490109	446
ASIA	CENAM	dirofilaria_immitis_chrX	1400001	1500000	0.5762902688826916	446
EUR	ASIA	dirofilaria_immitis_chrX	1400001	1500000	0.5967501172255117	446
CENAM	USA	dirofilaria_immitis_chrX	1500001	1600000	0.3150381961314283	465
EUR	ASIA	dirofilaria_immitis_chrX	1500001	1600000	0.562986833625529	465
AUS	CENAM	dirofilaria_immitis_chrX	1500001	1600000	0.4191494325806275	465
AUS	ASIA	dirofilaria_immitis_chrX	1500001	1600000	0.3354879811845505	465
ASIA	CENAM	dirofilaria_immitis_chrX	1500001	1600000	0.6279183180120882	465
EUR	USA	dirofilaria_immitis_chrX	1500001	1600000	0.2881258735985392	465
EUR	CENAM	dirofilaria_immitis_chrX	1500001	1600000	0.2416251798888037	465
ASIA	USA	dirofilaria_immitis_chrX	1500001	1600000	0.2339754450142032	465
AUS	USA	dirofilaria_immitis_chrX	1500001	1600000	0.2319817904209464	465
AUS	EUR	dirofilaria_immitis_chrX	1500001	1600000	0.3839289482264048	465
AUS	CENAM	dirofilaria_immitis_chrX	1600001	1700000	0.515450320171861	404
AUS	EUR	dirofilaria_immitis_chrX	1600001	1700000	0.4546400713226959	404
CENAM	USA	dirofilaria_immitis_chrX	1600001	1700000	0.2678567764247487	404
ASIA	CENAM	dirofilaria_immitis_chrX	1600001	1700000	0.5584728409207662	404
ASIA	USA	dirofilaria_immitis_chrX	1600001	1700000	0.1902261133924629	404
AUS	ASIA	dirofilaria_immitis_chrX	1600001	1700000	0.4498664682078226	404
EUR	USA	dirofilaria_immitis_chrX	1600001	1700000	0.248052288484752	404
EUR	CENAM	dirofilaria_immitis_chrX	1600001	1700000	0.295186356149414	404
EUR	ASIA	dirofilaria_immitis_chrX	1600001	1700000	0.5020063912960013	404
AUS	USA	dirofilaria_immitis_chrX	1600001	1700000	0.3290068824574958	404
ASIA	CENAM	dirofilaria_immitis_chrX	1700001	1800000	0.6769599502577576	486
ASIA	USA	dirofilaria_immitis_chrX	1700001	1800000	0.185455662943714	486
CENAM	USA	dirofilaria_immitis_chrX	1700001	1800000	0.343833351611282	486
AUS	EUR	dirofilaria_immitis_chrX	1700001	1800000	0.404392848591796	486
AUS	ASIA	dirofilaria_immitis_chrX	1700001	1800000	0.2757581107871588	486
AUS	CENAM	dirofilaria_immitis_chrX	1700001	1800000	0.4707355860854847	486
AUS	USA	dirofilaria_immitis_chrX	1700001	1800000	0.2101213211934655	486
EUR	ASIA	dirofilaria_immitis_chrX	1700001	1800000	0.52912067860664	486
EUR	USA	dirofilaria_immitis_chrX	1700001	1800000	0.2490629317091819	486
EUR	CENAM	dirofilaria_immitis_chrX	1700001	1800000	0.4396813622401598	486
ASIA	USA	dirofilaria_immitis_chrX	1800001	1900000	0.220516090433282	565
ASIA	CENAM	dirofilaria_immitis_chrX	1800001	1900000	0.6648080080757894	565
EUR	USA	dirofilaria_immitis_chrX	1800001	1900000	0.3194665153794047	565
EUR	CENAM	dirofilaria_immitis_chrX	1800001	1900000	0.4984592167457331	565
CENAM	USA	dirofilaria_immitis_chrX	1800001	1900000	0.3460200836922099	565
AUS	EUR	dirofilaria_immitis_chrX	1800001	1900000	0.4250700268916932	565
EUR	ASIA	dirofilaria_immitis_chrX	1800001	1900000	0.6502541295787421	565
AUS	ASIA	dirofilaria_immitis_chrX	1800001	1900000	0.3139481078223237	565
AUS	CENAM	dirofilaria_immitis_chrX	1800001	1900000	0.4530322202372689	565
AUS	USA	dirofilaria_immitis_chrX	1800001	1900000	0.1855087816654717	565
EUR	CENAM	dirofilaria_immitis_chrX	1900001	2000000	0.3251829549746814	523
EUR	ASIA	dirofilaria_immitis_chrX	1900001	2000000	0.595372351999071	523
AUS	USA	dirofilaria_immitis_chrX	1900001	2000000	0.1963972833706747	523
AUS	CENAM	dirofilaria_immitis_chrX	1900001	2000000	0.3913059379016066	523
AUS	ASIA	dirofilaria_immitis_chrX	1900001	2000000	0.3148878399515567	523
AUS	EUR	dirofilaria_immitis_chrX	1900001	2000000	0.398976043837744	523
ASIA	CENAM	dirofilaria_immitis_chrX	1900001	2000000	0.579508507907253	523
EUR	USA	dirofilaria_immitis_chrX	1900001	2000000	0.2844388450563055	523
ASIA	USA	dirofilaria_immitis_chrX	1900001	2000000	0.2117472268998045	523
CENAM	USA	dirofilaria_immitis_chrX	1900001	2000000	0.3054044305174601	523
AUS	USA	dirofilaria_immitis_chrX	2000001	2100000	0.1993771154620293	373
AUS	CENAM	dirofilaria_immitis_chrX	2000001	2100000	0.348481616040869	373
AUS	ASIA	dirofilaria_immitis_chrX	2000001	2100000	0.2873313742153369	373
AUS	EUR	dirofilaria_immitis_chrX	2000001	2100000	0.3352401568919556	373
EUR	USA	dirofilaria_immitis_chrX	2000001	2100000	0.279718892155319	373
ASIA	CENAM	dirofilaria_immitis_chrX	2000001	2100000	0.7187664491317554	373
EUR	CENAM	dirofilaria_immitis_chrX	2000001	2100000	0.1785445375463591	373
EUR	ASIA	dirofilaria_immitis_chrX	2000001	2100000	0.6878221566400996	373
ASIA	USA	dirofilaria_immitis_chrX	2000001	2100000	0.2145772072274981	373
CENAM	USA	dirofilaria_immitis_chrX	2000001	2100000	0.3028239489887368	373
AUS	EUR	dirofilaria_immitis_chrX	2100001	2200000	0.4093899090900367	323
AUS	ASIA	dirofilaria_immitis_chrX	2100001	2200000	0.2536473733363978	323
CENAM	USA	dirofilaria_immitis_chrX	2100001	2200000	0.3621458094388102	323
ASIA	USA	dirofilaria_immitis_chrX	2100001	2200000	0.2469620538275163	323
ASIA	CENAM	dirofilaria_immitis_chrX	2100001	2200000	0.7282267810037779	323
EUR	USA	dirofilaria_immitis_chrX	2100001	2200000	0.3298224952458549	323
AUS	CENAM	dirofilaria_immitis_chrX	2100001	2200000	0.3918747482977908	323
AUS	USA	dirofilaria_immitis_chrX	2100001	2200000	0.1915077553842123	323
EUR	CENAM	dirofilaria_immitis_chrX	2100001	2200000	0.3998397874433915	323
EUR	ASIA	dirofilaria_immitis_chrX	2100001	2200000	0.6258986469404889	323
AUS	EUR	dirofilaria_immitis_chrX	2200001	2300000	0.2959732211881766	365
AUS	ASIA	dirofilaria_immitis_chrX	2200001	2300000	0.1978144683095677	365
ASIA	CENAM	dirofilaria_immitis_chrX	2200001	2300000	0.4456191534045665	365
EUR	USA	dirofilaria_immitis_chrX	2200001	2300000	0.1877203321735657	365
EUR	ASIA	dirofilaria_immitis_chrX	2200001	2300000	0.3319725596263883	365
EUR	CENAM	dirofilaria_immitis_chrX	2200001	2300000	0.4329115824042117	365
AUS	USA	dirofilaria_immitis_chrX	2200001	2300000	0.1923660656163843	365
AUS	CENAM	dirofilaria_immitis_chrX	2200001	2300000	0.4196056271188933	365
CENAM	USA	dirofilaria_immitis_chrX	2200001	2300000	0.2749660488076198	365
ASIA	USA	dirofilaria_immitis_chrX	2200001	2300000	0.1361955610663534	365
ASIA	CENAM	dirofilaria_immitis_chrX	2300001	2400000	0.6000810628809348	266
EUR	USA	dirofilaria_immitis_chrX	2300001	2400000	0.2565133408814759	266
AUS	USA	dirofilaria_immitis_chrX	2300001	2400000	0.1903720518751696	266
AUS	CENAM	dirofilaria_immitis_chrX	2300001	2400000	0.4068192304947558	266
AUS	EUR	dirofilaria_immitis_chrX	2300001	2400000	0.4041646894365429	266
AUS	ASIA	dirofilaria_immitis_chrX	2300001	2400000	0.2195445921676008	266
CENAM	USA	dirofilaria_immitis_chrX	2300001	2400000	0.3215045356720984	266
ASIA	USA	dirofilaria_immitis_chrX	2300001	2400000	0.2565110046610686	266
EUR	ASIA	dirofilaria_immitis_chrX	2300001	2400000	0.5129885420068255	266
EUR	CENAM	dirofilaria_immitis_chrX	2300001	2400000	0.4457491766829678	266
AUS	CENAM	dirofilaria_immitis_chrX	2400001	2500000	0.4915186505175763	268
AUS	USA	dirofilaria_immitis_chrX	2400001	2500000	0.2356809370945579	268
ASIA	CENAM	dirofilaria_immitis_chrX	2400001	2500000	0.5700993000504502	268
EUR	USA	dirofilaria_immitis_chrX	2400001	2500000	0.2060756066823473	268
EUR	ASIA	dirofilaria_immitis_chrX	2400001	2500000	0.4720107211949913	268
EUR	CENAM	dirofilaria_immitis_chrX	2400001	2500000	0.434011551974559	268
AUS	EUR	dirofilaria_immitis_chrX	2400001	2500000	0.4209257043375347	268
AUS	ASIA	dirofilaria_immitis_chrX	2400001	2500000	0.3294793353103209	268
ASIA	USA	dirofilaria_immitis_chrX	2400001	2500000	0.1726843401607173	268
CENAM	USA	dirofilaria_immitis_chrX	2400001	2500000	0.3204906803983646	268
AUS	USA	dirofilaria_immitis_chrX	2500001	2600000	0.3561690437604559	223
AUS	CENAM	dirofilaria_immitis_chrX	2500001	2600000	0.7457940195971061	223
ASIA	CENAM	dirofilaria_immitis_chrX	2500001	2600000	0.6471273503123792	223
EUR	USA	dirofilaria_immitis_chrX	2500001	2600000	0.2020098217073965	223
CENAM	USA	dirofilaria_immitis_chrX	2500001	2600000	0.4449301725048835	223
ASIA	USA	dirofilaria_immitis_chrX	2500001	2600000	0.2471681861693251	223
AUS	EUR	dirofilaria_immitis_chrX	2500001	2600000	0.5827821400824642	223
AUS	ASIA	dirofilaria_immitis_chrX	2500001	2600000	0.4579071630250415	223
EUR	ASIA	dirofilaria_immitis_chrX	2500001	2600000	0.5170618984890294	223
EUR	CENAM	dirofilaria_immitis_chrX	2500001	2600000	0.6815310185419516	223
AUS	CENAM	dirofilaria_immitis_chrX	2600001	2700000	0.6404686768413079	249
AUS	USA	dirofilaria_immitis_chrX	2600001	2700000	0.2829273377223611	249
EUR	ASIA	dirofilaria_immitis_chrX	2600001	2700000	0.4385497811094962	249
EUR	CENAM	dirofilaria_immitis_chrX	2600001	2700000	0.4554731808523467	249
ASIA	CENAM	dirofilaria_immitis_chrX	2600001	2700000	0.50679029219734	249
EUR	USA	dirofilaria_immitis_chrX	2600001	2700000	0.1947937082530912	249
AUS	ASIA	dirofilaria_immitis_chrX	2600001	2700000	0.3869802305512694	249
AUS	EUR	dirofilaria_immitis_chrX	2600001	2700000	0.523837095494333	249
ASIA	USA	dirofilaria_immitis_chrX	2600001	2700000	0.2121474363796799	249
CENAM	USA	dirofilaria_immitis_chrX	2600001	2700000	0.3277145948667762	249
AUS	USA	dirofilaria_immitis_chrX	2700001	2800000	0.339606863806702	127
AUS	CENAM	dirofilaria_immitis_chrX	2700001	2800000	0.7385202163759764	127
EUR	CENAM	dirofilaria_immitis_chrX	2700001	2800000	0.4540450095011223	127
EUR	ASIA	dirofilaria_immitis_chrX	2700001	2800000	0.558129195806607	127
ASIA	CENAM	dirofilaria_immitis_chrX	2700001	2800000	0.6960732157567482	127
EUR	USA	dirofilaria_immitis_chrX	2700001	2800000	0.2835593901020183	127
AUS	EUR	dirofilaria_immitis_chrX	2700001	2800000	0.6249300414398581	127
AUS	ASIA	dirofilaria_immitis_chrX	2700001	2800000	0.5566437764503274	127
CENAM	USA	dirofilaria_immitis_chrX	2700001	2800000	0.401154723468459	127
ASIA	USA	dirofilaria_immitis_chrX	2700001	2800000	0.2857573200015622	127
EUR	USA	dirofilaria_immitis_chrX	2800001	2900000	0.3944943721139612	143
ASIA	CENAM	dirofilaria_immitis_chrX	2800001	2900000	0.9019122531471896	143
AUS	CENAM	dirofilaria_immitis_chrX	2800001	2900000	0.7176040950205856	143
AUS	USA	dirofilaria_immitis_chrX	2800001	2900000	0.2028449442643674	143
AUS	EUR	dirofilaria_immitis_chrX	2800001	2900000	0.5809192071347032	143
AUS	ASIA	dirofilaria_immitis_chrX	2800001	2900000	0.5266526284865662	143
EUR	ASIA	dirofilaria_immitis_chrX	2800001	2900000	0.7526472281096086	143
EUR	CENAM	dirofilaria_immitis_chrX	2800001	2900000	0.8859795164981015	143
ASIA	USA	dirofilaria_immitis_chrX	2800001	2900000	0.3708294115033146	143
CENAM	USA	dirofilaria_immitis_chrX	2800001	2900000	0.4660127467960419	143
EUR	USA	dirofilaria_immitis_chrX	2900001	3000000	0.318033439830122	126
AUS	USA	dirofilaria_immitis_chrX	2900001	3000000	0.1659230820655489	126
EUR	ASIA	dirofilaria_immitis_chrX	2900001	3000000	0.7792537491784405	126
EUR	CENAM	dirofilaria_immitis_chrX	2900001	3000000	0.7827300917981957	126
AUS	EUR	dirofilaria_immitis_chrX	2900001	3000000	0.3520557417294614	126
CENAM	USA	dirofilaria_immitis_chrX	2900001	3000000	0.3640533948278289	126
ASIA	USA	dirofilaria_immitis_chrX	2900001	3000000	0.2937894148625278	126
ASIA	CENAM	dirofilaria_immitis_chrX	2900001	3000000	0.8512564746313389	126
AUS	ASIA	dirofilaria_immitis_chrX	2900001	3000000	0.4203145488863383	126
AUS	CENAM	dirofilaria_immitis_chrX	2900001	3000000	0.4960527537195679	126
CENAM	USA	dirofilaria_immitis_chrX	3000001	3100000	0.329163344724398	128
EUR	USA	dirofilaria_immitis_chrX	3000001	3100000	0.4579094853136178	128
EUR	ASIA	dirofilaria_immitis_chrX	3000001	3100000	0.8464209154902633	128
AUS	ASIA	dirofilaria_immitis_chrX	3000001	3100000	0.3468648324641675	128
AUS	CENAM	dirofilaria_immitis_chrX	3000001	3100000	0.4447167251096639	128
AUS	USA	dirofilaria_immitis_chrX	3000001	3100000	0.160082059606309	128
AUS	EUR	dirofilaria_immitis_chrX	3000001	3100000	0.4678118248856245	128
EUR	CENAM	dirofilaria_immitis_chrX	3000001	3100000	0.7779809685598322	128
ASIA	USA	dirofilaria_immitis_chrX	3000001	3100000	0.3352727243748625	128
ASIA	CENAM	dirofilaria_immitis_chrX	3000001	3100000	0.7559627284255799	128
ASIA	USA	dirofilaria_immitis_chrX	3100001	3200000	0.2055094411951843	163
CENAM	USA	dirofilaria_immitis_chrX	3100001	3200000	0.3861371450014239	163
AUS	USA	dirofilaria_immitis_chrX	3100001	3200000	0.11811780560386	163
AUS	CENAM	dirofilaria_immitis_chrX	3100001	3200000	0.4634242056292069	163
AUS	ASIA	dirofilaria_immitis_chrX	3100001	3200000	0.2349951014732271	163
AUS	EUR	dirofilaria_immitis_chrX	3100001	3200000	0.4519347685369074	163
EUR	USA	dirofilaria_immitis_chrX	3100001	3200000	0.4223026400345294	163
EUR	ASIA	dirofilaria_immitis_chrX	3100001	3200000	0.7253657200865097	163
EUR	CENAM	dirofilaria_immitis_chrX	3100001	3200000	0.6658047130561534	163
ASIA	CENAM	dirofilaria_immitis_chrX	3100001	3200000	0.6894004209852872	163
AUS	CENAM	dirofilaria_immitis_chrX	3200001	3300000	0.1770159339226539	163
AUS	USA	dirofilaria_immitis_chrX	3200001	3300000	0.099080445113366	163
ASIA	USA	dirofilaria_immitis_chrX	3200001	3300000	0.2058902303740047	163
EUR	CENAM	dirofilaria_immitis_chrX	3200001	3300000	0.5523532682770248	163
ASIA	CENAM	dirofilaria_immitis_chrX	3200001	3300000	0.3705505407106975	163
EUR	USA	dirofilaria_immitis_chrX	3200001	3300000	0.3634078123880713	163
AUS	EUR	dirofilaria_immitis_chrX	3200001	3300000	0.3556132672486397	163
CENAM	USA	dirofilaria_immitis_chrX	3200001	3300000	0.2052520721915676	163
AUS	ASIA	dirofilaria_immitis_chrX	3200001	3300000	0.2066224257760266	163
EUR	ASIA	dirofilaria_immitis_chrX	3200001	3300000	0.6884528007022497	163
AUS	ASIA	dirofilaria_immitis_chrX	3300001	3400000	0.2655966202922583	144
AUS	CENAM	dirofilaria_immitis_chrX	3300001	3400000	0.3008750047015694	144
CENAM	USA	dirofilaria_immitis_chrX	3300001	3400000	0.2469849174465739	144
